[2025-04-30 22:06:36,247] INFO in app: Logging setup complete!
'FLASK_ENV' is deprecated and will not be used in Flask 2.3. Use 'FLASK_DEBUG' instead.
 * Debugger is active!
 * Debugger PIN: 143-597-879
 * Detected change in '/home/pi/webapp/app.py', reloading
30 22:07:00,937 - Logging setup complete!
2025-05-01 20:50:04,104 - Audio Monitor - RMS: 0.9355861927655725 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,205 - Audio Monitor - RMS: 0.8840409500572147 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,304 - Audio Monitor - RMS: 0.9210132574740828 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,404 - Audio Monitor - RMS: 0.9580189956342916 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,504 - Audio Monitor - RMS: 0.9510456079389775 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,604 - Audio Monitor - RMS: 0.9585461992456814 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,711 - Audio Monitor - RMS: 0.9195454037181624 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,805 - Audio Monitor - RMS: 0.9123263127126396 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,905 - Audio Monitor - RMS: 0.9489578231254691 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,005 - Audio Monitor - RMS: 0.9489581034439135 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,106 - Audio Monitor - RMS: 0.9294429142466814 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,205 - Audio Monitor - RMS: 0.7928914370162846 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,305 - Audio Monitor - RMS: 0.8789502631070966 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,405 - Audio Monitor - RMS: 0.9297342903529064 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,505 - Audio Monitor - RMS: 0.9464660233524761 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,605 - Audio Monitor - RMS: 0.9486979310041013 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,705 - Audio Monitor - RMS: 0.9522712770044618 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,811 - Audio Monitor - RMS: 0.9117633224749819 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:05,905 - Audio Monitor - RMS: 0.9530981726964602 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,005 - Audio Monitor - RMS: 0.7434725365889168 dB, Peak: 0.9727999573896429 dB
2025-05-01 20:50:06,105 - Audio Monitor - RMS: 0.87806264249684 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,205 - Audio Monitor - RMS: 0.8274937002475062 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,305 - Audio Monitor - RMS: 0.9606219635542567 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,404 - Audio Monitor - RMS: 0.9087492697069544 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,504 - Audio Monitor - RMS: 0.9099619735330762 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,604 - Audio Monitor - RMS: 0.9630798389646542 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,704 - Audio Monitor - RMS: 0.9254208943020588 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,804 - Audio Monitor - RMS: 0.8739497355714285 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:06,904 - Audio Monitor - RMS: 0.9080946183054018 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:07,004 - Audio Monitor - RMS: 0.6946460564577316 dB, Peak: 0.914619062083987 dB
2025-05-01 20:50:07,104 - Audio Monitor - RMS: 0.9365141779643784 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:07,204 - Audio Monitor - RMS: 0.9643961056049462 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:07,309 - Audio Monitor - RMS: 0.938904381443501 dB, Peak: 1.0 dB
2025-05-01 20:50:07,404 - Audio Monitor - RMS: 0.8215100974447048 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:07,504 - Audio Monitor - RMS: 0.8344476723741014 dB, Peak: 0.9925112759524194 dB
2025-05-01 20:50:07,604 - Audio Monitor - RMS: 0.8809196220367354 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:07,704 - Audio Monitor - RMS: 0.8651460057984323 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:07,804 - Audio Monitor - RMS: 0.8097403986712303 dB, Peak: 0.996910089948148 dB
2025-05-01 20:50:07,904 - Audio Monitor - RMS: 0.7415486018614257 dB, Peak: 0.8994533032272611 dB
2025-05-01 20:50:08,004 - Audio Monitor - RMS: 0.8052874594782493 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:08,105 - Audio Monitor - RMS: 0.824608939461278 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:08,204 - Audio Monitor - RMS: 0.6689092788551678 dB, Peak: 0.9319670742038739 dB
2025-05-01 20:50:08,304 - Audio Monitor - RMS: 0.8092020243046758 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:08,404 - Audio Monitor - RMS: 0.8527739517467766 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:08,504 - Audio Monitor - RMS: 0.7871124401935053 dB, Peak: 0.94355607408236 dB
2025-05-01 20:50:08,604 - Audio Monitor - RMS: 0.7912010186360026 dB, Peak: 0.9969732607119287 dB
2025-05-01 20:50:08,704 - Audio Monitor - RMS: 0.845263970567152 dB, Peak: 0.9993091662307584 dB
2025-05-01 20:50:08,804 - Audio Monitor - RMS: 0.8685878904896982 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:08,904 - Audio Monitor - RMS: 0.8630835050183698 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:09,004 - Audio Monitor - RMS: 0.6971580907021739 dB, Peak: 0.9742111179358391 dB
2025-05-01 20:50:09,104 - Audio Monitor - RMS: 0.407461501868753 dB, Peak: 0.6072698682635193 dB
2025-05-01 20:50:09,204 - Audio Monitor - RMS: 0.3330412478609389 dB, Peak: 0.4832505886887314 dB
2025-05-01 20:50:09,307 - Audio Monitor - RMS: 0.31306233036526526 dB, Peak: 0.44968704869955795 dB
2025-05-01 20:50:09,404 - Audio Monitor - RMS: 0.3058370850620644 dB, Peak: 0.41473930324330416 dB
2025-05-01 20:50:09,504 - Audio Monitor - RMS: 0.35488997219583923 dB, Peak: 0.6356585804704956 dB
2025-05-01 20:50:09,605 - Audio Monitor - RMS: 0.8527431162418596 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:09,704 - Audio Monitor - RMS: 0.7617729502640868 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:09,804 - Audio Monitor - RMS: 0.848986590198715 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:09,904 - Audio Monitor - RMS: 0.8485622249690817 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:10,004 - Audio Monitor - RMS: 0.7676269204343691 dB, Peak: 0.9150884195392812 dB
